6.176692670000000218e-02 1.287521740000000081e+00
8.483645069999999622e-02 1.145222699999999927e+00
6.494614880000000590e-02 1.007236280000000095e+00
1.732658399999999904e-02 8.798010520000000279e-01
6.063151390000000307e-02 7.474251020000000079e-01
1.688098520000000102e-01 6.095466019999999929e-01
1.408973460000000066e-01 5.269626739999999643e-01
-6.105923969999999673e-02 4.026948960000000244e-01
4.514767749999999691e-02 2.128374600000000061e-01
2.574682830000000200e-01 5.827050720000000184e-02
2.899770090000000078e-01 9.824693869999999787e-03
2.714526540000000154e-01 2.734409269999999934e-02
3.476361060000000003e-01 7.149021669999999773e-02
6.959763129999999576e-01 2.002607670000000062e-01
5.233502209999999488e-01 7.497753760000000489e-02
1.257126079999999924e+00 -1.111452619999999947e-01
-4.466242729999999739e+01 -3.772673520000000114e+00
1.391480009999999934e-01 2.840821950000000165e-02
-6.547822970000000131e-02 2.455385519999999863e-02
2.735958539999999939e+00 2.141600359999999981e-01
